30, 511, 248, 0.5146771037181996, 51.46771037181996
32, 417, 387, 0.07194244604316546, 7.194244604316546
34, 652, 606, 0.0705521472392638, 7.05521472392638
36, 522, 477, 0.08620689655172414, 8.620689655172415
38, 505, 468, 0.07326732673267326, 7.326732673267326
40, 553, 537, 0.028933092224231464, 2.8933092224231465
42, 566, 554, 0.02120141342756184, 2.1201413427561837
44, 530, 283, 0.4660377358490566, 46.60377358490566
46, 380, 374, 0.015789473684210527, 1.5789473684210527
48, 619, 549, 0.11308562197092084, 11.308562197092083
